weeks_since_first_vaccine,vaccine_type,all_participants,count,pos,mean_age,age_lower,age_upper,sd_age,n_women,prop_women,na.rm,cum_n,cum_pos,weekly_prev,weekly_prev_adjusted,se_prev_adjusted,prev_adjusted_lower,prev_adjusted_upper,prop_women_lower,prop_women_upper
0,All participants,All participants,719,77,55.68428372739916,56.94972735857872,55.68428372739916,17.283291414702084,432,60.08344923504868,TRUE,719,77,0.1070931849791377,0.04982241780224315,0.008114286623500534,0.025782905960820134,0.0787468486648788,58.49731991685264,66.85035089735449
1,All participants,All participants,7201,624,60.96111651159561,61.36625569341069,60.96111651159561,17.53797907646608,4168,57.88084988196084,TRUE,7920,701,0.08665463130120817,0.025914880455267523,0.0018723052450019947,0.018569694133868934,0.03377565086733485,58.82154611541315,61.488777877356625
2,All participants,All participants,6065,1508,57.923165704863976,58.38010215769284,57.923165704863976,18.152499133870137,3747,61.78070898598516,TRUE,13985,2209,0.24863973619126134,0.2153933047037798,0.0052786966119753665,0.20285799124280904,0.22830083986784927,63.28306192233929,66.14319150124727
3,All participants,All participants,4744,2884,54.67242833052276,55.16942139257436,54.67242833052276,17.460783767384992,2996,63.153456998313665,TRUE,18729,5093,0.6079258010118044,0.6356600783855474,0.006987044490403838,0.6193135724674055,0.6518022976790441,64.7100690819847,67.92021420458316
4,All participants,All participants,3202,2033,51.44472204871955,51.955918932577234,51.44472204871955,14.753210017196382,1910,59.65021861336665,TRUE,21931,7126,0.6349156777014366,0.6672308781160798,0.008327198451018047,0.6475461650539505,0.6865373827185121,60.22968491817643,64.20277516003274
5,All participants,All participants,2096,1244,51.62356870229008,52.2266061354063,51.62356870229008,14.077996096180044,1217,58.06297709923665,TRUE,24027,8370,0.5935114503816794,0.618799216729067,0.010608552516732301,0.5940241620061882,0.6431740603355441,57.886990265539474,62.824734275170066
6,All participants,All participants,1864,1011,54.322424892703864,55.056366774676846,54.322424892703864,16.156760625926918,1101,59.06652360515021,TRUE,25891,9381,0.5423819742489271,0.5589916648133432,0.011500139565362994,0.5324613483584479,0.5853180649256595,58.91669809651936,64.13366363118675
7,All participants,All participants,4098,2023,51.4526598340654,51.77058897716468,51.4526598340654,10.38101706274345,2323,56.68618838457784,TRUE,29989,11404,0.49365544167886777,0.5019949019521206,0.007810531182725059,0.48410492761037033,0.5198987768886795,56.981547773981575,60.52910056325508
8,All participants,All participants,10477,4610,54.1132957907798,54.25365171383265,54.1132957907798,7.329105036194504,5806,55.4166268970125,TRUE,40466,16014,0.44001145366039895,0.4392460564515136,0.004848658888538223,0.42815554796385624,0.4503880028175398,56.16216509476802,58.388405929135956
9,All participants,All participants,16677,6913,56.10583438268274,56.202952847397164,56.10583438268274,6.398543973005748,9002,53.97853330934821,TRUE,57143,22927,0.41452299574263957,0.40943150747764595,0.003807735757867215,0.4007096393951689,0.4181994268923859,54.70962009391901,56.479096916894036
10,All participants,All participants,12781,5031,58.12620295751506,58.24314434010785,58.12620295751506,6.744681058765502,6960,54.45583287692669,TRUE,69924,27958,0.3936311712698537,0.3849937668380556,0.004304118209375413,0.37512508260464156,0.394937221503641,55.14240050857493,57.16194861691536
11,All participants,All participants,11951,4585,59.54572839092963,59.679476913026555,59.54572839092963,7.459316487663337,6558,54.87406911555518,TRUE,81875,32543,0.3836499037737428,0.3733184042270942,0.004424467888733943,0.3631657537064099,0.38355851964424675,55.59771333346967,57.68454874865993
12,All participants,All participants,12145,6199,60.3905310827501,60.53107734427576,60.3905310827501,7.901811756872624,6690,NA,TRUE,94020,38742,0.5104158089748868,0.5215999637090735,0.004532790204419359,0.5111983193019984,0.5319939031807385,55.85249316236275,57.921724142301926
13,All participants,All participants,15283,12166,63.69135640908198,63.80452649725989,63.69135640908198,7.137620800273637,8246,NA,TRUE,109303,50908,0.7960478963554276,0.8557116579195551,0.002842333537288165,0.8481526336348532,0.8630966397982075,54.64294683354834,56.491411102926115
14,All participants,All participants,16914,14094,66.86797918883765,66.96887374603159,66.86797918883765,6.694401098091023,9189,54.32777580702377,TRUE,126217,65002,0.8332742107130188,0.8992562998163747,0.002314341965018887,0.8925973311641648,0.905738230010511,55.1247928300203,56.880805762258355
15,All participants,All participants,15821,13386,68.80709183995955,68.92132235517782,68.80709183995955,7.330233033618559,8450,53.410024650780606,TRUE,142038,78388,0.8460906390240819,0.9142480278676827,0.002226061247203135,0.907572381589041,0.9207271294424917,54.02034229072918,55.83858126037007
16,All participants,All participants,9150,7731,68.40284153005464,68.59631220454709,68.40284153005464,9.441046641766583,5188,56.69945355191257,TRUE,151188,86119,0.8449180327868853,0.9128763981598845,0.002948243523438915,0.9040314395569514,0.9213827283658116,57.58755372333697,59.96219967514923
17,All participants,All participants,5802,5051,67.12788693553946,67.44265053041471,67.12788693553946,12.230230559717278,3467,59.755256807997235,TRUE,156990,91170,0.8705618752154429,0.942872704661882,0.0030469091222335787,0.9324816088575623,0.9526902040571943,60.86954058387855,63.82060376588772
18,All participants,All participants,3510,3162,64.31880341880341,64.79340250060808,64.31880341880341,14.341102309051728,2324,66.21082621082621,TRUE,160500,94332,0.9008547008547009,0.9783070544563118,0.002458913760673455,0.966224487694906,0.989364404501081,68.0536890669211,71.71260862438615
19,All participants,All participants,1767,1615,62.11941143180532,62.80138485486986,62.11941143180532,14.616381929805474,1218,68.93039049235993,TRUE,162267,95947,0.9139784946236559,0.9936583163219742,0.0018884372086997862,0.9772956145693835,1,70.51528351179984,75.55870196214842
20,All participants,All participants,628,584,61.69904458598726,62.814698618069336,61.69904458598726,14.237119275820021,439,69.90445859872611,TRUE,162895,96531,0.9299363057324841,1,0,0.985786099773039,1,69.89704639369504,78.268689514839
