lacode,round,swab,issued
E06000015,round 1,383,1408
E06000016,round 1,268,1705
E06000017,round 1,383,969
E06000018,round 1,319,1931
E07000032,round 1,365,997
E07000033,round 1,387,1205
E07000034,round 1,379,1147
E07000035,round 1,380,937
E07000036,round 1,393,1085
E07000037,round 1,417,1125
E07000038,round 1,390,1021
E07000039,round 1,462,1057
E07000129,round 1,407,1023
E07000130,round 1,403,1161
E07000131,round 1,408,938
E07000132,round 1,440,1048
E07000133,round 1,418,1017
E07000134,round 1,417,1036
E07000135,round 1,377,1185
E07000136,round 1,324,1262
E07000137,round 1,339,987
E07000138,round 1,372,1492
E07000139,round 1,432,979
E07000140,round 1,347,1060
E07000141,round 1,372,966
E07000142,round 1,383,1014
E07000150,round 1,402,1487
E07000151,round 1,402,1006
E07000152,round 1,409,1080
E07000153,round 1,389,1139
E07000154,round 1,379,1381
E07000155,round 1,412,942
E07000156,round 1,354,1206
E07000170,round 1,422,1253
E07000171,round 1,414,1235
E07000172,round 1,403,1125
E07000173,round 1,401,1076
E07000174,round 1,376,1258
E07000175,round 1,397,1130
E07000176,round 1,434,1010
E06000031,round 1,330,1375
E06000032,round 1,311,1667
E06000033,round 1,403,1340
E06000034,round 1,430,1528
E06000055,round 1,390,1237
E06000056,round 1,429,1069
E07000008,round 1,403,1692
E07000009,round 1,404,1079
E07000010,round 1,316,1063
E07000011,round 1,382,1038
E07000012,round 1,413,1014
E07000066,round 1,385,1276
E07000067,round 1,428,1057
E07000068,round 1,404,1047
E07000069,round 1,450,1212
E07000070,round 1,410,1117
E07000071,round 1,336,1212
E07000072,round 1,401,1179
E07000073,round 1,380,1452
E07000074,round 1,384,984
E07000075,round 1,453,1095
E07000076,round 1,352,1023
E07000077,round 1,468,1057
E07000095,round 1,404,1280
E07000096,round 1,443,1150
E07000098,round 1,456,1338
E07000099,round 1,454,1112
E07000102,round 1,431,1167
E07000103,round 1,318,1494
E07000143,round 1,348,996
E07000144,round 1,418,937
E07000145,round 1,294,1128
E07000146,round 1,384,1033
E07000147,round 1,352,937
E07000148,round 1,402,1483
E07000149,round 1,360,937
E07000200,round 1,375,937
E07000202,round 1,371,1279
E07000203,round 1,381,937
E07000240,round 1,460,1112
E07000241,round 1,438,1322
E07000242,round 1,432,1089
E07000243,round 1,410,1339
E07000244,round 1,362,979
E07000245,round 1,389,1060
E09000002,round 1,267,1914
E09000003,round 1,356,1560
E09000004,round 1,395,1349
E09000005,round 1,231,1950
E09000006,round 1,441,1274
E09000007,round 1,326,1949
E09000008,round 1,307,1647
E09000009,round 1,279,1746
E09000010,round 1,280,1557
E09000011,round 1,355,1753
E09000012,round 1,274,1949
E09000013,round 1,321,1950
E09000014,round 1,314,1950
E09000015,round 1,320,1557
E09000016,round 1,388,1259
E09000017,round 1,356,1607
E09000018,round 1,291,1780
E09000019,round 1,368,1950
E09000020,round 1,246,1950
E09000021,round 1,426,1488
E09000022,round 1,335,1950
E09000023,round 1,399,1916
E09000024,round 1,288,1712
E09000025,round 1,223,1950
E09000026,round 1,314,1657
E09000027,round 1,486,1351
E09000028,round 1,267,1950
E09000029,round 1,398,1346
E09000030,round 1,302,1950
E09000031,round 1,338,1787
E09000032,round 1,420,1949
E09000033,round 1,273,1947
E06000001,round 1,340,1313
E06000002,round 1,330,1496
E06000003,round 1,364,1193
E06000004,round 1,379,1260
E06000005,round 1,313,1177
E06000047,round 1,379,1168
E06000057,round 1,382,1041
E08000021,round 1,370,1539
E08000022,round 1,438,1156
E08000023,round 1,413,1343
E08000024,round 1,433,1338
E08000037,round 1,410,1300
E06000006,round 1,371,1552
E06000007,round 1,425,1260
E06000008,round 1,336,1683
E06000009,round 1,385,1524
E06000049,round 1,441,1121
E06000050,round 1,452,1205
E07000026,round 1,421,1199
E07000027,round 1,458,1384
E07000028,round 1,398,1140
E07000029,round 1,407,1132
E07000030,round 1,408,1014
E07000031,round 1,412,1025
E07000117,round 1,369,1415
E07000118,round 1,464,1255
E07000119,round 1,400,1064
E07000120,round 1,376,1432
E07000121,round 1,329,1218
E07000122,round 1,385,1457
E07000123,round 1,363,1554
E07000124,round 1,407,1022
E07000125,round 1,454,1284
E07000126,round 1,437,1155
E07000127,round 1,409,1261
E07000128,round 1,382,1148
E08000001,round 1,416,1528
E08000002,round 1,421,1390
E08000003,round 1,310,1949
E08000004,round 1,424,1619
E08000005,round 1,385,1533
E08000006,round 1,403,1737
E08000007,round 1,470,1270
E08000008,round 1,421,1558
E08000009,round 1,436,1303
E08000010,round 1,444,1383
E08000011,round 1,406,1758
E08000012,round 1,339,1805
E08000013,round 1,388,1377
E08000014,round 1,417,1276
E08000015,round 1,407,1314
E06000035,round 1,404,1340
E06000036,round 1,452,1234
E06000037,round 1,452,1113
E06000038,round 1,404,1616
E06000039,round 1,309,1947
E06000040,round 1,453,1258
E06000041,round 1,457,1091
E06000042,round 1,401,1319
E06000043,round 1,518,1589
E06000044,round 1,366,1583
E06000045,round 1,388,1616
E06000046,round 1,286,1036
E07000004,round 1,415,1165
E07000005,round 1,466,1048
E07000006,round 1,459,1175
E07000007,round 1,424,1239
E07000061,round 1,380,1216
E07000062,round 1,401,1350
E07000063,round 1,395,1014
E07000064,round 1,356,997
E07000065,round 1,371,992
E07000084,round 1,468,1168
E07000085,round 1,443,1032
E07000086,round 1,396,1079
E07000087,round 1,385,966
E07000088,round 1,386,1085
E07000089,round 1,447,1047
E07000090,round 1,384,1055
E07000091,round 1,385,945
E07000092,round 1,413,1343
E07000093,round 1,410,1010
E07000094,round 1,374,1017
E07000105,round 1,376,1110
E07000106,round 1,366,1275
E07000107,round 1,374,1302
E07000108,round 1,381,1096
E07000109,round 1,363,1323
E07000110,round 1,420,1110
E07000111,round 1,425,1098
E07000112,round 1,375,1109
E07000113,round 1,400,1276
E07000114,round 1,368,1133
E07000115,round 1,436,1077
E07000116,round 1,468,1131
E07000177,round 1,393,1151
E07000178,round 1,344,1950
E07000179,round 1,406,1053
E07000180,round 1,415,1066
E07000181,round 1,377,1055
E07000207,round 1,494,1264
E07000208,round 1,423,1148
E07000209,round 1,441,1174
E07000210,round 1,429,1072
E07000211,round 1,440,1159
E07000212,round 1,416,1311
E07000213,round 1,411,1273
E07000214,round 1,419,1114
E07000215,round 1,432,1129
E07000216,round 1,441,1092
E07000217,round 1,434,1285
E07000223,round 1,438,1110
E07000224,round 1,341,1029
E07000225,round 1,364,990
E07000226,round 1,413,1478
E07000227,round 1,408,958
E07000228,round 1,454,1024
E07000229,round 1,413,1059
E06000022,round 1,418,1152
E06000023,round 1,412,1548
E06000024,round 1,374,1032
E06000025,round 1,393,1119
E06000026,round 1,326,1196
E06000027,round 1,342,1117
E06000030,round 1,366,1180
E06000052,round 1,313,1001
E06000054,round 1,398,967
E06000058,round 1,369,1202
E06000059,round 1,365,937
E07000040,round 1,360,937
E07000041,round 1,362,1233
E07000042,round 1,354,937
E07000043,round 1,332,1001
E07000044,round 1,374,937
E07000045,round 1,348,953
E07000046,round 1,338,937
E07000047,round 1,346,937
E07000078,round 1,424,1174
E07000079,round 1,426,989
E07000080,round 1,382,993
E07000081,round 1,373,1218
E07000082,round 1,393,959
E07000083,round 1,430,1009
E07000187,round 1,376,1049
E07000188,round 1,364,1036
E07000189,round 1,351,982
E07000246,round 1,371,1011
E06000019,round 1,374,990
E06000020,round 1,359,1237
E06000021,round 1,378,1437
E06000051,round 1,382,993
E07000192,round 1,419,1225
E07000193,round 1,377,1154
E07000194,round 1,400,1014
E07000195,round 1,394,1191
E07000196,round 1,429,1046
E07000197,round 1,381,1049
E07000198,round 1,400,1018
E07000199,round 1,440,1252
E07000218,round 1,420,1164
E07000219,round 1,391,1299
E07000220,round 1,366,1134
E07000221,round 1,413,992
E07000222,round 1,449,1133
E07000234,round 1,408,1045
E07000235,round 1,374,940
E07000236,round 1,356,1203
E07000237,round 1,386,1229
E07000238,round 1,373,961
E07000239,round 1,383,1101
E08000025,round 1,308,1806
E08000026,round 1,362,1681
E08000027,round 1,368,1253
E08000028,round 1,291,1661
E08000029,round 1,366,1180
E08000030,round 1,363,1457
E08000031,round 1,333,1627
E06000010,round 1,360,1514
E06000011,round 1,347,990
E06000012,round 1,365,1266
E06000013,round 1,364,1191
E06000014,round 1,376,1185
E07000163,round 1,403,968
E07000164,round 1,364,937
E07000165,round 1,384,980
E07000166,round 1,357,938
E07000167,round 1,359,937
E07000168,round 1,371,1054
E07000169,round 1,397,1011
E08000016,round 1,388,1256
E08000017,round 1,346,1292
E08000018,round 1,373,1246
E08000019,round 1,360,1336
E08000032,round 1,315,1497
E08000033,round 1,419,1309
E08000034,round 1,379,1276
E08000035,round 1,409,1445
E08000036,round 1,408,1280
E06000015,round 2,497,2181
E06000016,round 2,474,3421
E06000017,round 2,578,1560
E06000018,round 2,484,3256
E07000032,round 2,559,1608
E07000033,round 2,489,1744
E07000034,round 2,507,1765
E07000035,round 2,555,1454
E07000036,round 2,505,1600
E07000037,round 2,566,1578
E07000038,round 2,548,1623
E07000039,round 2,492,1427
E07000129,round 2,522,1529
E07000130,round 2,520,1705
E07000131,round 2,587,1415
E07000132,round 2,544,1456
E07000133,round 2,535,1487
E07000134,round 2,541,1498
E07000135,round 2,531,1907
E07000136,round 2,525,2356
E07000137,round 2,490,1681
E07000138,round 2,505,2180
E07000139,round 2,490,1392
E07000140,round 2,596,1954
E07000141,round 2,536,1575
E07000142,round 2,538,1569
E07000150,round 2,467,2044
E07000151,round 2,549,1516
E07000152,round 2,526,1615
E07000153,round 2,498,1710
E07000154,round 2,463,2072
E07000155,round 2,552,1466
E07000156,round 2,533,2036
E07000170,round 2,490,1736
E07000171,round 2,511,1728
E07000172,round 2,537,1746
E07000173,round 2,466,1616
E07000174,round 2,487,1887
E07000175,round 2,545,1734
E07000176,round 2,570,1492
E06000031,round 2,501,2421
E06000032,round 2,456,3036
E06000033,round 2,502,1843
E06000034,round 2,431,1922
E06000055,round 2,540,1966
E06000056,round 2,497,1473
E07000008,round 2,484,2322
E07000009,round 2,581,1680
E07000010,round 2,557,2003
E07000011,round 2,575,1620
E07000012,round 2,564,1464
E07000066,round 2,474,1796
E07000067,round 2,504,1494
E07000068,round 2,524,1570
E07000069,round 2,477,1576
E07000070,round 2,553,1598
E07000071,round 2,516,1829
E07000072,round 2,482,1655
E07000073,round 2,487,2143
E07000074,round 2,540,1487
E07000075,round 2,509,1495
E07000076,round 2,513,1705
E07000077,round 2,549,1408
E07000095,round 2,483,1872
E07000096,round 2,471,1551
E07000098,round 2,464,1716
E07000099,round 2,540,1526
E07000102,round 2,515,1594
E07000103,round 2,510,2303
E07000143,round 2,563,1741
E07000144,round 2,533,1477
E07000145,round 2,522,2185
E07000146,round 2,499,1670
E07000147,round 2,584,1693
E07000148,round 2,513,2184
E07000149,round 2,556,1615
E07000200,round 2,549,1498
E07000202,round 2,467,1975
E07000203,round 2,577,1502
E07000240,round 2,546,1505
E07000241,round 2,496,1840
E07000242,round 2,537,1495
E07000243,round 2,491,1891
E07000244,round 2,558,1608
E07000245,round 2,535,1674
E09000002,round 2,491,3698
E09000003,round 2,529,2469
E09000004,round 2,509,1930
E09000005,round 2,455,4056
E09000006,round 2,503,1649
E09000007,round 2,470,3072
E09000008,round 2,520,2784
E09000009,round 2,553,3434
E09000010,round 2,535,3093
E09000011,round 2,519,2554
E09000012,round 2,534,3346
E09000013,round 2,484,3140
E09000014,round 2,447,2981
E09000015,round 2,508,2706
E09000016,round 2,460,1841
E09000017,round 2,519,2569
E09000018,round 2,521,3229
E09000019,round 2,454,2698
E09000020,round 2,469,3768
E09000021,round 2,531,2136
E09000022,round 2,486,3024
E09000023,round 2,477,2597
E09000024,round 2,576,2688
E09000025,round 2,420,4057
E09000026,round 2,484,2970
E09000027,round 2,531,1696
E09000028,round 2,551,3311
E09000029,round 2,495,1893
E09000030,round 2,474,3614
E09000031,round 2,499,2938
E09000032,round 2,485,2484
E09000033,round 2,459,3722
E06000001,round 2,473,1952
E06000002,round 2,425,2432
E06000003,round 2,489,1885
E06000004,round 2,491,1795
E06000005,round 2,522,1840
E06000047,round 2,514,1766
E06000057,round 2,537,1591
E08000021,round 2,519,2251
E08000022,round 2,506,1510
E08000023,round 2,541,1845
E08000024,round 2,481,1779
E08000037,round 2,494,1798
E06000006,round 2,433,1981
E06000007,round 2,464,1720
E06000008,round 2,471,2749
E06000009,round 2,482,2166
E06000049,round 2,506,1582
E06000050,round 2,479,1535
E07000026,round 2,561,1727
E07000027,round 2,483,1687
E07000028,round 2,530,1675
E07000029,round 2,468,1627
E07000030,round 2,538,1515
E07000031,round 2,563,1553
E07000117,round 2,457,2119
E07000118,round 2,491,1621
E07000119,round 2,522,1571
E07000120,round 2,427,2056
E07000121,round 2,486,2009
E07000122,round 2,394,2038
E07000123,round 2,481,2309
E07000124,round 2,556,1456
E07000125,round 2,421,1619
E07000126,round 2,500,1543
E07000127,round 2,555,1751
E07000128,round 2,482,1748
E08000001,round 2,424,2111
E08000002,round 2,490,1869
E08000003,round 2,493,3346
E08000004,round 2,463,2191
E08000005,round 2,483,2222
E08000006,round 2,497,2331
E08000007,round 2,496,1638
E08000008,round 2,487,2015
E08000009,round 2,512,1758
E08000010,round 2,461,1809
E08000011,round 2,396,2075
E08000012,round 2,418,2479
E08000013,round 2,524,1963
E08000014,round 2,404,1729
E08000015,round 2,507,1778
E06000035,round 2,492,1885
E06000036,round 2,523,1662
E06000037,round 2,553,1580
E06000038,round 2,500,2346
E06000039,round 2,485,3270
E06000040,round 2,523,1616
E06000041,round 2,548,1499
E06000042,round 2,511,1971
E06000043,round 2,469,1855
E06000044,round 2,478,2218
E06000045,round 2,451,2415
E06000046,round 2,479,1891
E07000004,round 2,529,1678
E07000005,round 2,528,1417
E07000006,round 2,479,1567
E07000007,round 2,529,1784
E07000061,round 2,517,1875
E07000062,round 2,474,1920
E07000063,round 2,530,1584
E07000064,round 2,575,1668
E07000065,round 2,571,1644
E07000084,round 2,548,1532
E07000085,round 2,520,1403
E07000086,round 2,523,1618
E07000087,round 2,592,1505
E07000088,round 2,500,1596
E07000089,round 2,521,1396
E07000090,round 2,482,1584
E07000091,round 2,570,1488
E07000092,round 2,519,1823
E07000093,round 2,520,1504
E07000094,round 2,623,1638
E07000105,round 2,564,1729
E07000106,round 2,504,1931
E07000107,round 2,475,1893
E07000108,round 2,489,1666
E07000109,round 2,479,2010
E07000110,round 2,508,1558
E07000111,round 2,525,1494
E07000112,round 2,537,1735
E07000113,round 2,501,1730
E07000114,round 2,478,1727
E07000115,round 2,531,1480
E07000116,round 2,520,1497
E07000177,round 2,534,1780
E07000178,round 2,500,3167
E07000179,round 2,572,1586
E07000180,round 2,548,1599
E07000181,round 2,536,1674
E07000207,round 2,544,1528
E07000208,round 2,493,1621
E07000209,round 2,521,1657
E07000210,round 2,586,1536
E07000211,round 2,503,1584
E07000212,round 2,508,1898
E07000213,round 2,527,1795
E07000214,round 2,570,1611
E07000215,round 2,571,1586
E07000216,round 2,537,1494
E07000217,round 2,534,1753
E07000223,round 2,498,1546
E07000224,round 2,548,1823
E07000225,round 2,553,1616
E07000226,round 2,540,2053
E07000227,round 2,555,1469
E07000228,round 2,552,1427
E07000229,round 2,509,1598
E06000022,round 2,529,1674
E06000023,round 2,525,2155
E06000024,round 2,570,1678
E06000025,round 2,503,1613
E06000026,round 2,504,2034
E06000027,round 2,513,1917
E06000030,round 2,547,1860
E06000052,round 2,521,1688
E06000054,round 2,558,1500
E06000058,round 2,499,1911
E06000059,round 2,572,1661
E07000040,round 2,561,1533
E07000041,round 2,563,2032
E07000042,round 2,519,1615
E07000043,round 2,503,1697
E07000044,round 2,544,1520
E07000045,round 2,517,1550
E07000046,round 2,540,1619
E07000047,round 2,544,1528
E07000078,round 2,499,1642
E07000079,round 2,501,1438
E07000080,round 2,474,1548
E07000081,round 2,441,1889
E07000082,round 2,472,1524
E07000083,round 2,485,1433
E07000187,round 2,579,1684
E07000188,round 2,559,1664
E07000189,round 2,566,1682
E07000246,round 2,521,1634
E06000019,round 2,517,1645
E06000020,round 2,526,1971
E06000021,round 2,465,2172
E06000051,round 2,516,1614
E07000192,round 2,483,1708
E07000193,round 2,497,1834
E07000194,round 2,517,1520
E07000195,round 2,546,1845
E07000196,round 2,494,1495
E07000197,round 2,529,1686
E07000198,round 2,546,1540
E07000199,round 2,495,1689
E07000218,round 2,487,1597
E07000219,round 2,506,1956
E07000220,round 2,600,1827
E07000221,round 2,542,1510
E07000222,round 2,514,1572
E07000234,round 2,490,1508
E07000235,round 2,428,1554
E07000236,round 2,494,1920
E07000237,round 2,479,1846
E07000238,round 2,502,1536
E07000239,round 2,522,1740
E08000025,round 2,415,2887
E08000026,round 2,513,2646
E08000027,round 2,454,1882
E08000028,round 2,490,3034
E08000029,round 2,515,1838
E08000030,round 2,471,2228
E08000031,round 2,506,2799
E06000010,round 2,450,2218
E06000011,round 2,536,1629
E06000012,round 2,462,1991
E06000013,round 2,511,1869
E06000014,round 2,539,1783
E07000163,round 2,499,1430
E07000164,round 2,544,1497
E07000165,round 2,534,1502
E07000166,round 2,583,1586
E07000167,round 2,542,1550
E07000168,round 2,473,1683
E07000169,round 2,536,1491
E08000016,round 2,343,1786
E08000017,round 2,468,1968
E08000018,round 2,470,1856
E08000019,round 2,478,2068
E08000032,round 2,528,2665
E08000033,round 2,494,1747
E08000034,round 2,477,1884
E08000035,round 2,475,1994
E08000036,round 2,468,1791
